German,English
treffen,meet
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrckt,crazy
neue,new
ging,went
hinter,behind
sorgen,care for
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,inside
ruhig,quiet
sah,saw
ganzen,entire
spt,late
ziemlich,quite
solltest,should
name,name
sogar,even
kurz,short
kerl,guy
frauen,women
liegt,lies
suchen,seek
finde,find
je,ever
woher,from where
lang,long
job,job
keiner,none
seinem,his
hrt,hrt
verstehen,understand
spielen,play
s,s
berhaupt,at all
teufel,devil
verstanden,understood
verloren,lost
groe,big
hand,hand
grund,reason
jahr,year
kommst,come
mama,mama
ruhe,quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,attempt
art,Art
letzten,last
schatz,treasure
endlich,finally
he,hey
nimm,take
etwa,approximately
erzhlt,tells
luft,air
schwer,difficult
anders,different
miss,miss
musste,had to
fnf,five
wasser,water
lsst,lets
erste,first
versucht,tried
gekommen,came
geschichte,story
wenig,few
holen,fetch
bedeutet,means
nett,nice
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,which
bestimmt,certainly
hoch,high
alter,age
sagst,say
schau,look
ah,uh
land,country
zimmer,room
wagen,dare
vier,four
gefallen,fallen
spa,spa
niemals,never
schuld,fault
gettet,killed
wollten,wanted
verlassen,leave
zeigen,show
beste,best
ernst,serious
unserer,ours
denen,those
ort,location
bleibt,remains
wrdest,would
manchmal,sometimes
glaubst,believe
seite,page
lasst,let
zwischen,between
eben,even
whrend,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefllt,filled
kleinen,small
erzhlen,tell
anderes,other
tage,days
entschuldigen,excuse
wichtig,important
gehst,go
allen,everyone
bett,bed
mrs,mrs
sachen,things
the,the
schlecht,bad
schule,school
entschuldigung,excuse
wort,word
john,John
httest,htst
wren,wren
typ,type
schlafen,sleep
h,h
tu,do
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
blo,just
unten,below
teil,part
beiden,both
mensch,person
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,do
trinken,drink
einige,some
dies,this
ding,thing
unseren,ours
kriegen,get
blut,blood
ehrlich,honest
eltern,parents
scheint,appears
herz,heart
jack,Jack
glcklich,happy
alte,old ones
alt,old
bleib,stay
wiedersehen,see you again
frei,free
wen,who
drauf,on it
mglich,possible
irgendwie,somehow
reicht,suffices
fest,firmly
besten,best
waffe,weapon
kaum,barely
irgendwas,something
klingt,sounds
platz,place
brauchst,need
rede,speech
papa,papa
falsch,incorrect
sondern,rather
alten,old
nummer,number
frher,earlier
jungen,boys
wohin,where
auer,except
frh,early
setzen,set
zuerst,first
wahrscheinlich,probably
drfen,allowed
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
groen,big
retten,save
hierher,here
wr,wr
bring,bring
fehler,mistake
wollt,wanted
dollar,dollar
zehn,ten
allem,everything
pass,passport
nchste,next
stunde,hour
hnde,hands
gegeben,given
menge,crowd
langsam,slow
bereits,already
wartet,waits
sechs,six
lieben,love
meines,mine
bro,bro
nchsten,next
gebe,give
wochen,weeks
ruf,call
schaffen,create
leider,unfortunately
schei,shit
hlle,hell
trotzdem,despite it
doktor,doctor
tja,well
new,new
voll,full
film,film
berall,everywhere
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
knig,king
danach,thereafter
funktioniert,functions
hattest,had
lernen,learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,fire
laufen,run
alleine,alone
erinnern,remember
vllig,completely
kleines,small
knnt,can
stelle,place
kumpel,buddy
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,i
entschuldige,sorry
ziehen,pull
verschwinden,disappear
knntest,could
seht,see
aufhren,stop
eigenen,own
richtige,correct
unserem,ours
suche,search
zwar,that is
gro,great
hol,get
buch,book
krank,sick
fhle,feel
jedes,each
verstehst,understand
wert,value
arzt,physician
froh,glad
versuche,try
strae,street
rufen,call
heiraten,marry
super,super
sam,Sam
lebt,lives
gutes,good
lasse,let
onkel,uncle
total,total
gebracht,brought
party,party
erklren,explain
spielt,plays
wahl,choice
vertrauen,trust
damals,at that time
tagen,meetings
leicht,light
nachdem,after
gegangen,gone
gefhl,feeling
kaufen,buy
geschafft,done
typen,types
interessiert,interested
mchten,want
halte,hold
hlt,holds
glaub,believe
irgendwo,somewhere
stck,pcs
genauso,just as
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,heaven
nachricht,news
drben,over there
passt,fits
sagten,said
kmmern,take care
laut,loud
vergiss,forget
angerufen,called
sitzen,sit
da,there
erde,earth
groer,bigger
schlssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefngnis,prison
opfer,victim
krper,body
solche,such
mist,crap
mr,mr
findet,finds
schreiben,write
bse,bad
gesprochen,spoken
versuch,attempt
vorstellen,introduce
wovon,from what
sobald,as soon as
nochmal,again
herren,gentlemen
sex,sex
waffen,weapons
wohnung,apartment
weh,sore
heien,hot
krankenhaus,hospital
bringe,bring
hre,hear
millionen,million
klasse,class
hart,hard
worden,been
sinn,sense
auerdem,besides
verletzt,injured
ndern,change
erfahren,experience
tragen,carry
wenigstens,at least
vorsichtig,cautious
daddy,daddy
stolz,proud
stark,strong
fllt,falls
mchtest,would like
leuten,people
besonders,particularly
schne,beautiful
schicken,send
person,person
schtze,protect
solange,as long as
lnger,longer
groartig,great
lacht,laughs
anrufen,call
stand,stood
redest,talk
fhlen,feel
erwartet,expected
boden,floor
boss,boss
stimme,agree
glaubt,believes
still,silent
sicherheit,security
setz,put
ma,ma
mund,mouth
kmpfen,fight
wisst,know
lachen,laugh
hrst,hrst
zeug,things
lustig,funny
umbringen,kill
sollst,you should
hasse,hate
schlimm,terrible
o,O
unglaublich,incredible
wrst,sausage
laden,load
fhren,drive
gestorben,died
schauen,look
meinung,opinion
lesen,read
mrder,murderer
frank,frank
hm,Hm
geschehen,happen
geschft,business
idiot,idiot
verzeihung,forgiveness
fliegen,fly
zeig,show
team,team
general,general
mike,Mike
aufs,ons
york,York
vorher,previously
schluss,ending
schneller,faster
liebt,loves
verdient,earned
mgen,like
meisten,most
denk,think
umgebracht,killed
perfekt,perfect
versprochen,promised
handy,cell phone
hinten,rear
monate,months
erinnere,remember
acht,eight
arbeitet,works
fallen,fall
rufe,shout
ntig,necessary
a,a
mord,murder
heraus,out of here
tages,day
unmglich,impossible
liebling,darling
charlie,charlie
tatschlich,actually
folgen,consequences
bitten,ask
behalten,keep
nhe,near
arbeite,work
joe,joe
verdammte,damn
pltzlich,suddenly
lebens,life
hole,fetch
tisch,table
michael,Michael
hrte,heard
jemals,ever
liegen,lay
verkaufen,sell
gefhrlich,dangerous
anfangen,begin
bekommt,receives
machte,made
ha,Ha
hotel,hotel
hilft,helps
werdet,will
meister,master
kampf,battle
antwort,answer
konnten,could
geschickt,sent
jedem,everyone
obwohl,although
sieben,seven
komisch,funny
gewinnen,win
ihres,hers
bezahlt,paid
you,you
voller,fuller
unterwegs,on the way
dumm,dumb
rger,trouble
bild,picture
george,george
neu,new
bezahlen,pay
dagegen,against it
seien,be
starb,died
tom,tom
monaten,months
leiche,corpse
niemanden,nobody
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,catch
fort,continued
stndig,constantly
findest,find
gefahr,danger
absolut,absolutely
mary,mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,will
ziel,goal
benutzt,used
bewegung,movement
jemandem,someone
wnschte,wished
worte,words
kamen,came
welcher,which
